College Code,College Name,Seat Category,AD-Artificial Intelligence & Data Science,"AE-Aeronautical Engineering","AG-Agricultural Engineering",AI-Artificial Intelligence & Machine Learning,,"AL-Agriculture Engineering Course","AR-Automation & Robotics Engineering","AS-Aerospace Engineering"
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,96455,,,110959,,,,
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",KKR,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,59221,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",KKR,,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,1535,,,1481,,,,5552
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,7374,,,5102,,,,25650
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,,,,,,,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",KKR,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",KKR,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",GM,,106537,,110453,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangaluru",KKR,,,,,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",GM,,,,100968,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",KKR,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,88161,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",KKR,,,,,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,,,,104732,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",KKR,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",GM,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengaluru",KKR,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",KKR,,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",KKR,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",KKR,,,,,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,,,,29423,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",KKR,,,,69102,,,,
E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",GM,,,,,,,,
E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",KKR,,,,,,,,
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,,,,,,,,2467
E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,,,,,,,,21999
